s,t,a,r,t,",", ,w,r,i,t,i,n,g
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.903518802171106)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 415, 'ppm, TVOC: ', 2, ' temp: ', 22.311623169928282)"
"('CO2: ', 543, 'ppm, TVOC: ', 21, ' temp: ', 22.311623169928282)"
"('CO2: ', 683, 'ppm, TVOC: ', 43, ' temp: ', 22.66252995492249)"
"('CO2: ', 853, 'ppm, TVOC: ', 69, ' temp: ', 22.66252995492249)"
"('CO2: ', 905, 'ppm, TVOC: ', 76, ' temp: ', 22.66252995492249)"
"('CO2: ', 967, 'ppm, TVOC: ', 86, ' temp: ', 22.66252995492249)"
"('CO2: ', 1032, 'ppm, TVOC: ', 96, ' temp: ', 23.018154317125152)"
"('CO2: ', 1285, 'ppm, TVOC: ', 134, ' temp: ', 22.66252995492249)"
"('CO2: ', 1416, 'ppm, TVOC: ', 154, ' temp: ', 23.018154317125152)"
"('CO2: ', 1458, 'ppm, TVOC: ', 161, ' temp: ', 23.018154317125152)"
"('CO2: ', 1432, 'ppm, TVOC: ', 157, ' temp: ', 23.018154317125152)"
"('CO2: ', 1538, 'ppm, TVOC: ', 173, ' temp: ', 23.018154317125152)"
"('CO2: ', 1558, 'ppm, TVOC: ', 176, ' temp: ', 23.018154317125152)"
"('CO2: ', 1558, 'ppm, TVOC: ', 176, ' temp: ', 23.018154317125152)"
"('CO2: ', 1574, 'ppm, TVOC: ', 178, ' temp: ', 23.37862394551081)"
